Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL East,67,95,4,4.48,162,6091,5493,726,1299,270,21,247,697,51,20,509,1514,0.236,0.305,0.428,0.733,96,141,0.984,25.9
2018,AL East,73,89,4,4.38,162,6076,5477,709,1336,320,16,217,680,47,30,499,1387,0.244,0.312,0.427,0.739,101,138,0.983,29
2017,AL East,76,86,4,4.28,162,6154,5499,693,1320,269,5,222,661,53,24,542,1327,0.24,0.312,0.412,0.724,92,145,0.985,31
2016,AL East,89,73,2,4.69,162,6233,5479,759,1358,276,18,221,728,54,24,632,1362,0.248,0.33,0.426,0.755,88,144,0.986,30.1
2015,AL East,93,69,1,5.5,162,6232,5509,891,1480,308,17,232,852,88,23,570,1151,0.269,0.34,0.457,0.797,88,145,0.985,29.6
2014,AL East,83,79,3,4.46,162,6167,5549,723,1435,282,24,177,690,78,21,502,1151,0.259,0.323,0.414,0.736,87,130,0.985,29.2
2013,AL East,74,88,5,4.4,162,6152,5537,712,1398,273,24,185,669,112,41,510,1123,0.252,0.318,0.411,0.729,111,145,0.982,29
2012,AL East,73,89,4,4.42,162,6094,5487,716,1346,247,22,198,677,123,41,473,1251,0.245,0.309,0.407,0.716,101,167,0.984,27.8
2011,AL East,81,81,4,4.59,162,6210,5559,743,1384,285,34,186,704,131,52,525,1184,0.249,0.317,0.413,0.73,110,148,0.982,28.3
2010,AL East,85,77,4,4.66,162,6072,5495,755,1364,319,21,257,732,58,20,471,1164,0.248,0.312,0.454,0.766,92,172,0.985,29.3
2009,AL East,75,87,4,4.93,162,6362,5696,798,1516,339,13,209,766,73,23,548,1028,0.266,0.333,0.44,0.773,76,168,0.988,29.9
2008,AL East,86,76,4,4.41,162,6191,5503,714,1453,303,32,126,681,80,27,521,938,0.264,0.331,0.399,0.731,84,137,0.986,31
2007,AL East,83,79,3,4.65,162,6197,5536,753,1434,344,24,165,719,57,22,533,1044,0.259,0.327,0.419,0.746,102,160,0.984,30.5
2006,AL East,87,75,2,4.99,162,6241,5596,809,1591,348,27,199,778,65,33,514,906,0.284,0.348,0.463,0.811,99,157,0.984,28.6
2005,AL East,80,82,3,4.78,162,6233,5581,775,1480,307,39,136,735,72,35,486,955,0.265,0.331,0.407,0.738,95,154,0.985,28
2004,AL East,67,94,5,4.47,161,6178,5531,719,1438,290,34,145,680,58,31,513,1083,0.26,0.328,0.403,0.732,91,150,0.985,28
2003,AL East,86,76,3,5.52,162,6364,5661,894,1580,357,33,190,853,37,25,546,1081,0.279,0.349,0.455,0.803,117,161,0.981,28.4
2002,AL East,78,84,3,5.02,162,6230,5581,813,1457,305,38,187,771,71,18,522,1142,0.261,0.327,0.43,0.757,107,159,0.982,27.2
2001,AL East,80,82,3,4.73,162,6284,5663,767,1489,287,36,195,728,156,55,470,1094,0.263,0.325,0.43,0.755,97,184,0.985,28.2
2000,AL East,83,79,3,5.31,162,6326,5677,861,1562,328,21,244,826,89,34,526,1026,0.275,0.341,0.469,0.81,100,176,0.984,28.1
1999,AL East,84,78,3,5.45,162,6370,5642,883,1580,337,14,212,856,119,48,578,1077,0.28,0.352,0.457,0.81,106,165,0.983,28.3
1998,AL East,88,74,3,5.01,163,6323,5580,816,1482,316,19,221,776,184,81,564,1132,0.266,0.34,0.448,0.787,125,131,0.979,28.9
1997,AL East,76,86,5,4.04,162,6109,5473,654,1333,275,41,147,627,134,50,487,1138,0.244,0.31,0.389,0.699,94,150,0.984,29.6
1996,AL East,74,88,4,4.73,162,6295,5599,766,1451,302,35,177,712,116,38,529,1105,0.259,0.331,0.42,0.752,110,187,0.982,28.6
1995,AL East,56,88,5,4.46,144,5650,5036,642,1309,275,27,140,613,75,16,492,906,0.26,0.328,0.409,0.737,97,131,0.982,28.9
1994,AL East,55,60,3,4.92,115,4462,3962,566,1064,210,30,115,534,79,26,387,691,0.269,0.336,0.424,0.76,81,105,0.981,29.3
1993,AL East,95,67,1,5.23,162,6319,5579,847,1556,317,42,159,796,170,49,588,861,0.279,0.35,0.436,0.786,107,144,0.982,29.2
1992,AL East,96,66,1,4.81,162,6224,5536,780,1458,265,40,163,737,129,39,561,933,0.263,0.333,0.414,0.747,93,109,0.985,29.3
1991,AL East,91,71,1,4.22,162,6167,5489,684,1412,295,45,133,649,148,53,499,1043,0.257,0.322,0.4,0.722,127,115,0.98,27.6
1990,AL East,86,76,2,4.73,162,6223,5589,767,1479,263,50,167,729,111,52,526,970,0.265,0.328,0.419,0.747,86,144,0.986,26.9
1989,AL East,89,73,1,4.51,162,6216,5581,731,1449,265,40,142,685,144,58,521,923,0.26,0.323,0.398,0.721,127,164,0.98,27.9
1988,AL East,87,75,3,4.71,162,6194,5557,763,1491,271,47,158,706,107,36,521,935,0.268,0.332,0.419,0.751,110,170,0.982,27.4
1987,AL East,96,66,2,5.22,162,6295,5635,845,1514,277,38,215,790,126,50,555,970,0.269,0.336,0.446,0.782,111,148,0.982,27.8
1986,AL East,86,76,4,4.96,163,6318,5716,809,1540,285,35,181,767,110,59,496,848,0.269,0.329,0.427,0.755,100,150,0.984,28.4
1985,AL East,99,62,1,4.71,161,6107,5508,759,1482,281,53,158,714,144,77,503,807,0.269,0.331,0.425,0.757,125,164,0.98,27.7
1984,AL East,89,73,2,4.6,163,6286,5687,750,1555,275,68,143,702,193,67,460,816,0.273,0.331,0.421,0.752,123,166,0.98,27.7
1983,AL East,89,73,4,4.91,162,6213,5581,795,1546,268,58,167,748,131,72,510,810,0.277,0.338,0.436,0.774,115,148,0.981,27.7
1982,AL East,78,84,6,4.02,162,6192,5526,651,1447,262,45,106,605,118,81,415,749,0.262,0.314,0.383,0.697,136,146,0.978,26.6
1981,AL East,37,69,7,3.1,106,3887,3521,329,797,137,23,61,314,66,57,284,556,0.226,0.286,0.33,0.617,105,102,0.975,25.8
1980,AL East,67,95,7,3.85,162,6149,5571,624,1398,249,53,126,580,67,72,448,813,0.251,0.309,0.383,0.691,133,206,0.979,25.8
1979,AL East,53,109,7,3.78,162,6010,5423,613,1362,253,34,95,562,75,56,448,663,0.251,0.311,0.363,0.673,159,187,0.975,26.7
1978,AL East,59,102,7,3.66,161,6015,5430,590,1358,217,39,98,551,28,52,448,645,0.25,0.308,0.359,0.667,131,163,0.979,27
1977,AL East,54,107,7,3.76,161,6058,5419,605,1367,230,41,100,553,65,55,499,819,0.252,0.316,0.365,0.681,164,133,0.974,27
